employee_id,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki
EMP100111,38.0,99.0,ID,Influencer-Dominant,ENFJ,83.0,22.0,8.0
EMP100112,88.0,83.0,,Dominant-Conscientious,ENTP,132.0,25.0,7.0
EMP100113,57.0,72.0,ID,Influencer-Dominant,INTJ,117.0,28.0,10.0
EMP100114,33.0,29.0,DI,Dominant-Influencer,INFJ,,,7.0
EMP100115,21.0,62.0,IS,Influencer-Steadiness,ENFJ,90.0,23.0,7.0
EMP100116,89.0,40.0,SI,Steadiness-Influencer,ISFP,,,7.0
EMP100117,40.0,98.0,,Dominant-Influencer,INFJ,86.0,25.0,5.0
EMP100118,67.0,31.0,IC,Influencer-Conscientious,ISTJ,,32.0,2.0
EMP100119,96.0,35.0,SI,Steadiness-Influencer,INTJ,102.0,29.0,1.0
EMP100120,53.0,45.0,SC,Steadiness-Conscientious,,127.0,29.0,8.0
EMP100121,95.0,85.0,,Steadiness-Dominant,INFJ,84.0,21.0,10.0
EMP100122,27.0,63.0,CS,Conscientious-Steadiness,ESTP,,,2.0
EMP100123,40.0,42.0,CD,Conscientious-Dominant,ESTJ,107.0,27.0,8.0
EMP100124,38.0,84.0,DC,Dominant-Conscientious,ESFP,,,8.0
EMP100125,28.0,72.0,DC,Dominant-Conscientious,ENTP,,30.0,6.0
EMP100126,86.0,53.0,DS,Dominant-Steadiness,ISFP,120.0,24.0,1.0
EMP100127,20.0,65.0,CI,Conscientious-Influencer,,,,1.0
EMP100128,70.0,69.0,DC,Dominant-Conscientious,ESTP,117.0,38.0,3.0
EMP100129,64.0,40.0,CS,Conscientious-Steadiness,ENTP,109.0,28.0,3.0
EMP100130,39.0,80.0,CD,Conscientious-Dominant,INTP,84.0,24.0,9.0
EMP100131,51.0,47.0,DS,Dominant-Steadiness,ESTP,102.0,24.0,2.0
EMP100132,66.0,59.0,SI,Steadiness-Influencer,ISFP,118.0,33.0,8.0
EMP100133,44.0,89.0,CI,Conscientious-Influencer,ENTP,104.0,39.0,4.0
EMP100134,33.0,89.0,CS,Conscientious-Steadiness,INTJ,119.0,22.0,6.0
EMP100135,87.0,64.0,,Conscientious-Influencer,INFP,113.0,27.0,7.0
EMP100136,45.0,53.0,ID,Influencer-Dominant,ESFJ,131.0,26.0,10.0
EMP100137,73.0,32.0,DC,Dominant-Conscientious,ESFJ,125.0,16.0,10.0
EMP100138,29.0,27.0,IC,Influencer-Conscientious,ISFJ,,,9.0
EMP100139,47.0,90.0,IC,Influencer-Conscientious,ENTP,,,8.0
EMP100140,92.0,73.0,DI,Dominant-Influencer,ISFP,,33.0,1.0
EMP100141,91.0,28.0,DC,Dominant-Conscientious,ENFJ,124.0,29.0,8.0
EMP100142,98.0,64.0,ID,Influencer-Dominant,ESTP,,,1.0
EMP100143,38.0,93.0,IS,Influencer-Steadiness,ESFP,122.0,21.0,3.0
EMP100144,60.0,58.0,CI,Conscientious-Influencer,ENFP,,23.0,8.0
EMP100145,51.0,100.0,SC,Steadiness-Conscientious,INFP,107.0,31.0,9.0
EMP100146,90.0,91.0,CS,Conscientious-Steadiness,INTP,120.0,21.0,9.0
EMP100147,67.0,49.0,IS,Influencer-Steadiness,ESFJ,,34.0,5.0
EMP100148,43.0,77.0,IS,Influencer-Steadiness,INTP,120.0,34.0,2.0
EMP100149,28.0,28.0,,Dominant-Conscientious,ESTJ,122.0,26.0,7.0
EMP100150,69.0,77.0,CS,Conscientious-Steadiness,ENFP,125.0,26.0,4.0
EMP100151,35.0,65.0,DI,Dominant-Influencer,INTP,123.0,15.0,10.0
EMP100152,33.0,67.0,IC,Influencer-Conscientious,,93.0,22.0,6.0
EMP100153,85.0,73.0,CI,Conscientious-Influencer,ENFJ,,31.0,9.0
EMP100154,86.0,42.0,ID,Influencer-Dominant,ESFP,117.0,26.0,10.0
EMP100155,73.0,57.0,CD,Conscientious-Dominant,ENTP,,,4.0
EMP100156,51.0,58.0,SI,Steadiness-Influencer,ESFJ,80.0,29.0,7.0
EMP100157,34.0,50.0,IC,Influencer-Conscientious,ISTJ,118.0,24.0,4.0
EMP100158,33.0,64.0,SD,Steadiness-Dominant,INTJ,137.0,23.0,6.0
EMP100159,94.0,74.0,CI,Conscientious-Influencer,INFJ,,29.0,4.0
EMP100160,70.0,90.0,DC,Dominant-Conscientious,INTP,133.0,25.0,4.0
EMP100161,42.0,52.0,CD,Conscientious-Dominant,,113.0,20.0,3.0
EMP100162,43.0,93.0,DI,Dominant-Influencer,ENTP,138.0,22.0,2.0
EMP100163,57.0,96.0,,Influencer-Conscientious,ESTP,137.0,28.0,10.0
EMP100164,88.0,41.0,IS,Influencer-Steadiness,ENFJ,,34.0,9.0
EMP100165,48.0,39.0,CS,Conscientious-Steadiness,ENTP,123.0,29.0,5.0
EMP100166,38.0,31.0,IC,Influencer-Conscientious,ISFP,,,10.0
EMP100167,67.0,21.0,CD,Conscientious-Dominant,ESTP,119.0,24.0,1.0
EMP100168,33.0,65.0,CI,Conscientious-Influencer,ISTJ,114.0,34.0,1.0
EMP100169,90.0,43.0,CS,Conscientious-Steadiness,ESFP,101.0,20.0,3.0
EMP100170,55.0,95.0,CI,Conscientious-Influencer,INFJ,,,1.0
EMP100171,91.0,66.0,IC,Influencer-Conscientious,ISFJ,136.0,22.0,4.0
EMP100172,77.0,34.0,CI,Conscientious-Influencer,ENTP,115.0,22.0,10.0
EMP100173,75.0,42.0,ID,Influencer-Dominant,INTP,,27.0,2.0
EMP100174,70.0,77.0,IC,Influencer-Conscientious,ESFJ,,,4.0
EMP100175,30.0,89.0,IC,Influencer-Conscientious,ESFJ,133.0,25.0,3.0
EMP100176,54.0,47.0,SD,Steadiness-Dominant,ENTP,134.0,38.0,6.0
EMP100177,57.0,28.0,DI,Dominant-Influencer,INTJ,86.0,28.0,3.0
EMP100178,73.0,63.0,DI,Dominant-Influencer,ESFJ,106.0,27.0,2.0
EMP100179,57.0,94.0,SD,Steadiness-Dominant,ESTJ,,,2.0
EMP100180,97.0,58.0,CS,Conscientious-Steadiness,INTJ,101.0,42.0,10.0
EMP100181,57.0,82.0,DC,Dominant-Conscientious,ESFJ,,,8.0
EMP100182,27.0,67.0,CD,Conscientious-Dominant,ENTP,,,6.0
EMP100183,29.0,87.0,CI,Conscientious-Influencer,INTP,,,3.0
EMP100184,26.0,44.0,CS,Conscientious-Steadiness,ENTJ,113.0,26.0,3.0
EMP100185,31.0,68.0,SD,Steadiness-Dominant,INFJ,,28.0,3.0
EMP100186,34.0,44.0,CI,Conscientious-Influencer,ENTP,128.0,37.0,9.0
EMP100187,72.0,88.0,CD,Conscientious-Dominant,ENFP,88.0,23.0,7.0
EMP100188,90.0,92.0,DI,Dominant-Influencer,INFP,92.0,26.0,4.0
EMP100189,22.0,30.0,CI,Conscientious-Influencer,ENFJ,129.0,25.0,2.0
EMP100190,88.0,99.0,ID,Influencer-Dominant,INFP,112.0,19.0,5.0
EMP100191,45.0,44.0,SC,Steadiness-Conscientious,ENFJ,138.0,18.0,6.0
EMP100192,70.0,35.0,SI,Steadiness-Influencer,INTP,111.0,34.0,2.0
EMP100193,26.0,39.0,DI,Dominant-Influencer,INFJ,134.0,30.0,10.0
EMP100194,58.0,59.0,CD,Conscientious-Dominant,ISFP,109.0,34.0,9.0
EMP100195,72.0,27.0,IC,Influencer-Conscientious,ENFJ,124.0,31.0,8.0
EMP100196,98.0,73.0,DS,Dominant-Steadiness,ISFJ,,,3.0
EMP100197,51.0,52.0,CI,Conscientious-Influencer,INFJ,83.0,27.0,1.0
EMP100198,20.0,30.0,SD,Steadiness-Dominant,ESTJ,87.0,20.0,9.0
EMP100199,99.0,23.0,CI,Conscientious-Influencer,,97.0,24.0,9.0
EMP100200,24.0,99.0,CI,Conscientious-Influencer,ISTJ,102.0,25.0,7.0
EMP100201,39.0,98.0,DC,Dominant-Conscientious,ISFJ,101.0,31.0,9.0
EMP100202,64.0,24.0,SI,Steadiness-Influencer,ENFP,111.0,21.0,2.0
EMP100203,72.0,74.0,CD,Conscientious-Dominant,ESFP,92.0,29.0,2.0
EMP100204,59.0,84.0,CI,Conscientious-Influencer,ISFJ,,,6.0
EMP100205,61.0,36.0,CS,Conscientious-Steadiness,INFJ,139.0,28.0,5.0
EMP100206,24.0,40.0,IS,Influencer-Steadiness,INTJ,115.0,33.0,6.0
EMP100207,62.0,95.0,,Dominant-Influencer,ESTJ,91.0,26.0,7.0
EMP100208,92.0,48.0,DI,Dominant-Influencer,ESFP,89.0,33.0,2.0
EMP100209,29.0,34.0,IS,Influencer-Steadiness,ESTJ,126.0,21.0,6.0
EMP100210,32.0,73.0,ID,Influencer-Dominant,ISTJ,,,7.0
EMP100211,27.0,69.0,DC,Dominant-Conscientious,INTJ,135.0,30.0,2.0
EMP100212,91.0,31.0,ID,Influencer-Dominant,INTP,92.0,31.0,8.0
EMP100213,41.0,36.0,DS,Dominant-Steadiness,ENTJ,94.0,32.0,4.0
EMP100214,43.0,99.0,CD,Conscientious-Dominant,INTP,,,4.0
EMP100215,64.0,79.0,CS,Conscientious-Steadiness,ENFP,105.0,20.0,7.0
EMP100216,85.0,20.0,DC,Dominant-Conscientious,INFP,111.0,25.0,5.0
EMP100217,66.0,88.0,SC,Steadiness-Conscientious,INTP,,32.0,1.0
EMP100218,59.0,98.0,ID,Influencer-Dominant,ESTP,95.0,27.0,1.0
EMP100219,69.0,52.0,ID,Influencer-Dominant,ENTJ,106.0,39.0,2.0
EMP100220,56.0,76.0,SI,Steadiness-Influencer,INTP,84.0,18.0,1.0
EMP100221,61.0,50.0,SI,Steadiness-Influencer,ESFJ,119.0,33.0,5.0
EMP100222,30.0,93.0,CD,Conscientious-Dominant,INTJ,88.0,28.0,4.0
EMP100223,61.0,96.0,IS,Influencer-Steadiness,ENFP,96.0,23.0,8.0
EMP100224,79.0,67.0,CD,Conscientious-Dominant,ENFJ,114.0,22.0,8.0
EMP100225,38.0,28.0,SI,Steadiness-Influencer,,123.0,31.0,4.0
EMP100226,76.0,73.0,CS,Conscientious-Steadiness,ENTP,124.0,30.0,8.0
EMP100227,39.0,89.0,DS,Dominant-Steadiness,ISTJ,102.0,24.0,4.0
EMP100228,97.0,46.0,ID,Influencer-Dominant,ISFJ,116.0,29.0,6.0
EMP100229,69.0,55.0,CI,Conscientious-Influencer,ISFP,103.0,12.0,8.0
EMP100230,30.0,63.0,IC,Influencer-Conscientious,ESFP,90.0,18.0,7.0
EMP100231,60.0,70.0,SI,Steadiness-Influencer,ENFP,139.0,23.0,6.0
EMP100232,59.0,75.0,IC,Influencer-Conscientious,ESTJ,,,9.0
EMP100233,81.0,41.0,,Influencer-Conscientious,ENFP,125.0,31.0,5.0
EMP100234,76.0,87.0,IC,Influencer-Conscientious,ENTJ,117.0,31.0,3.0
EMP100235,24.0,57.0,CI,Conscientious-Influencer,ESFP,88.0,24.0,5.0
EMP100236,58.0,84.0,IS,Influencer-Steadiness,ISFP,116.0,31.0,2.0
EMP100237,54.0,80.0,CS,Conscientious-Steadiness,ESFJ,140.0,34.0,1.0
EMP100238,63.0,20.0,DI,Dominant-Influencer,ESFJ,,,5.0
EMP100239,47.0,41.0,CS,Conscientious-Steadiness,ISFP,,,3.0
EMP100240,26.0,35.0,SI,Steadiness-Influencer,ENFP,84.0,28.0,1.0
EMP100241,98.0,89.0,,Conscientious-Steadiness,ISTJ,,,8.0
EMP100242,46.0,97.0,CS,Conscientious-Steadiness,ESFP,93.0,24.0,2.0
EMP100243,30.0,50.0,SI,Steadiness-Influencer,ISFP,116.0,34.0,5.0
EMP100244,84.0,47.0,DC,Dominant-Conscientious,INTJ,128.0,36.0,1.0
EMP100245,63.0,98.0,,Steadiness-Dominant,ISTJ,,,9.0
EMP100246,38.0,61.0,CS,Conscientious-Steadiness,ESTJ,82.0,24.0,7.0
EMP100247,82.0,58.0,IC,Influencer-Conscientious,ENFJ,85.0,21.0,8.0
EMP100248,54.0,20.0,SI,Steadiness-Influencer,,102.0,34.0,3.0
EMP100249,36.0,42.0,SI,Steadiness-Influencer,ISFJ,86.0,29.0,6.0
EMP100250,33.0,50.0,DI,Dominant-Influencer,ENFP,89.0,28.0,1.0
EMP100251,64.0,20.0,SC,Steadiness-Conscientious,ISTP,121.0,25.0,7.0
EMP100252,35.0,34.0,SD,Steadiness-Dominant,ENFJ,105.0,25.0,5.0
EMP100253,48.0,93.0,IC,Influencer-Conscientious,INTP,91.0,23.0,2.0
EMP100254,99.0,39.0,ID,Influencer-Dominant,ESTJ,84.0,13.0,9.0
EMP100255,96.0,52.0,SD,Steadiness-Dominant,INFP,121.0,25.0,1.0
EMP100256,59.0,25.0,CD,Conscientious-Dominant,ISFJ,80.0,38.0,3.0
EMP100257,54.0,95.0,SC,Steadiness-Conscientious,,,,9.0
EMP100258,74.0,63.0,DS,Dominant-Steadiness,INFJ,121.0,29.0,5.0
EMP100259,97.0,22.0,CI,Conscientious-Influencer,INFP,88.0,34.0,2.0
EMP100260,42.0,80.0,ID,Influencer-Dominant,ESTP,87.0,14.0,1.0
EMP100261,43.0,53.0,IS,Influencer-Steadiness,INFP,138.0,18.0,6.0
EMP100262,94.0,31.0,DS,Dominant-Steadiness,ISFJ,136.0,19.0,4.0
EMP100263,73.0,79.0,DS,Dominant-Steadiness,ESFJ,123.0,24.0,1.0
EMP100264,38.0,97.0,SD,Steadiness-Dominant,ESTP,91.0,19.0,3.0
EMP100265,77.0,55.0,IS,Influencer-Steadiness,ENTP,91.0,29.0,7.0
EMP100266,26.0,39.0,SI,Steadiness-Influencer,ISFP,98.0,33.0,3.0
EMP100267,69.0,62.0,CD,Conscientious-Dominant,ENFP,,,7.0
EMP100268,98.0,67.0,DC,Dominant-Conscientious,ENTP,94.0,33.0,6.0
EMP100269,26.0,20.0,CS,Conscientious-Steadiness,ISFP,84.0,25.0,6.0
EMP100270,98.0,22.0,DS,Dominant-Steadiness,ISTP,85.0,22.0,1.0
EMP100271,55.0,36.0,IC,Influencer-Conscientious,ISFJ,92.0,21.0,1.0
EMP100272,71.0,22.0,CS,Conscientious-Steadiness,INFJ,,24.0,5.0
EMP100273,22.0,35.0,IC,Influencer-Conscientious,ESFJ,,,2.0
EMP100274,98.0,46.0,DS,Dominant-Steadiness,ENFJ,94.0,40.0,10.0
EMP100275,95.0,38.0,CI,Conscientious-Influencer,ESFJ,125.0,26.0,3.0
EMP100276,67.0,59.0,SI,Steadiness-Influencer,ENFJ,,,4.0
EMP100277,49.0,62.0,CD,Conscientious-Dominant,ESFP,119.0,36.0,1.0
EMP100278,84.0,46.0,CD,Conscientious-Dominant,ISTJ,,28.0,6.0
EMP100279,73.0,36.0,,Steadiness-Influencer,ENTJ,106.0,30.0,3.0
EMP100280,26.0,63.0,DC,Dominant-Conscientious,ESFJ,119.0,13.0,2.0
EMP100281,43.0,40.0,CD,Conscientious-Dominant,ESTJ,93.0,27.0,6.0
EMP100282,91.0,61.0,SC,Steadiness-Conscientious,INTJ,126.0,37.0,8.0
EMP100283,32.0,47.0,CS,Conscientious-Steadiness,ESFP,139.0,33.0,9.0
EMP100284,46.0,48.0,IC,Influencer-Conscientious,ISFJ,98.0,22.0,2.0
EMP100285,29.0,87.0,CI,Conscientious-Influencer,INFP,140.0,27.0,8.0
EMP100286,96.0,60.0,IS,Influencer-Steadiness,,96.0,25.0,6.0
EMP100287,90.0,68.0,,Dominant-Influencer,ESTJ,104.0,37.0,6.0
EMP100288,29.0,70.0,ID,Influencer-Dominant,ISTP,82.0,21.0,6.0
EMP100289,97.0,26.0,SI,Steadiness-Influencer,ISTP,88.0,25.0,9.0
EMP100290,78.0,60.0,DI,Dominant-Influencer,,85.0,32.0,2.0
EMP100291,39.0,31.0,CD,Conscientious-Dominant,ISTP,123.0,26.0,6.0
EMP100292,83.0,36.0,CS,Conscientious-Steadiness,ENFJ,92.0,25.0,3.0
EMP100293,81.0,66.0,DI,Dominant-Influencer,INFJ,82.0,27.0,7.0
EMP100294,92.0,78.0,CI,Conscientious-Influencer,INFJ,124.0,25.0,5.0
EMP100295,84.0,73.0,CS,Conscientious-Steadiness,INTP,102.0,30.0,10.0
EMP100296,92.0,54.0,ID,Influencer-Dominant,ISFP,84.0,24.0,4.0
EMP100297,27.0,65.0,DS,Dominant-Steadiness,INFP,135.0,29.0,8.0
EMP100298,99.0,62.0,SC,Steadiness-Conscientious,ESFP,81.0,29.0,5.0
EMP100299,40.0,71.0,IC,Influencer-Conscientious,ENTJ,125.0,23.0,8.0
EMP100300,99.0,80.0,,Dominant-Steadiness,ENFJ,126.0,31.0,4.0
EMP100301,36.0,72.0,SI,Steadiness-Influencer,ENTP,123.0,23.0,7.0
EMP100302,56.0,74.0,IC,Influencer-Conscientious,INTP,130.0,26.0,10.0
EMP100303,44.0,86.0,DC,Dominant-Conscientious,ENFP,94.0,23.0,10.0
EMP100304,62.0,53.0,CI,Conscientious-Influencer,,,,7.0
EMP100305,59.0,76.0,,Conscientious-Influencer,ESTJ,113.0,25.0,9.0
EMP100306,22.0,59.0,,Dominant-Influencer,ESTJ,,39.0,6.0
EMP100307,40.0,52.0,SC,Steadiness-Conscientious,ESFJ,,,10.0
EMP100308,98.0,26.0,DI,Dominant-Influencer,ESFP,105.0,24.0,6.0
EMP100309,91.0,95.0,SC,Steadiness-Conscientious,ENTP,120.0,28.0,1.0
EMP100310,21.0,92.0,SI,Steadiness-Influencer,ESFP,91.0,31.0,5.0
EMP100311,71.0,46.0,IS,Influencer-Steadiness,INTP,102.0,23.0,10.0
EMP100312,53.0,24.0,ID,Influencer-Dominant,INTJ,,,10.0
EMP100313,85.0,69.0,,Influencer-Dominant,INTP,105.0,30.0,4.0
EMP100314,66.0,35.0,SC,Steadiness-Conscientious,INTJ,116.0,22.0,1.0
EMP100315,77.0,50.0,CS,Conscientious-Steadiness,ISFP,99.0,28.0,2.0
EMP100316,63.0,34.0,DC,Dominant-Conscientious,ISFP,82.0,28.0,7.0
EMP100317,43.0,64.0,ID,Influencer-Dominant,ISFP,95.0,35.0,6.0
