employee_id,scale_code,score
EMP100073,Papi_N,5.0
EMP100074,Papi_N,2.0
EMP100075,Papi_N,5.0
EMP100076,Papi_N,8.0
EMP100077,Papi_N,5.0
EMP100078,Papi_N,3.0
EMP100079,Papi_N,1.0
EMP100080,Papi_N,
EMP100081,Papi_N,3.0
EMP100082,Papi_N,1.0
EMP100083,Papi_N,4.0
EMP100084,Papi_N,8.0
EMP100085,Papi_N,5.0
EMP100086,Papi_N,1.0
EMP100087,Papi_N,2.0
EMP100088,Papi_N,8.0
EMP100089,Papi_N,2.0
EMP100090,Papi_N,
EMP100091,Papi_N,3.0
EMP100092,Papi_N,1.0
EMP100093,Papi_N,9.0
EMP100094,Papi_N,2.0
EMP100095,Papi_N,2.0
EMP100096,Papi_N,7.0
EMP100097,Papi_N,8.0
EMP100098,Papi_N,2.0
EMP100099,Papi_N,5.0
EMP100100,Papi_N,1.0
EMP100101,Papi_N,2.0
EMP100102,Papi_N,6.0
EMP100103,Papi_N,3.0
EMP100104,Papi_N,
EMP100105,Papi_N,5.0
EMP100106,Papi_N,6.0
EMP100107,Papi_N,3.0
EMP100108,Papi_N,8.0
EMP100109,Papi_N,6.0
EMP100110,Papi_N,3.0
EMP100111,Papi_N,8.0
EMP100112,Papi_N,6.0
EMP100113,Papi_N,6.0
EMP100114,Papi_N,8.0
EMP100115,Papi_N,4.0
EMP100116,Papi_N,8.0
EMP100117,Papi_N,3.0
EMP100118,Papi_N,3.0
EMP100119,Papi_N,2.0
EMP100120,Papi_N,4.0
EMP100121,Papi_N,8.0
EMP100122,Papi_N,6.0
EMP100123,Papi_N,3.0
EMP100124,Papi_N,3.0
EMP100125,Papi_N,9.0
EMP100126,Papi_N,6.0
EMP100127,Papi_N,3.0
EMP100128,Papi_N,3.0
EMP100129,Papi_N,1.0
EMP100130,Papi_N,8.0
EMP100131,Papi_N,4.0
EMP100132,Papi_N,4.0
EMP100133,Papi_N,6.0
EMP100134,Papi_N,2.0
EMP100135,Papi_N,1.0
EMP100136,Papi_N,2.0
EMP100137,Papi_N,5.0
EMP100138,Papi_N,
EMP100139,Papi_N,2.0
EMP100140,Papi_N,2.0
EMP100141,Papi_N,3.0
EMP100142,Papi_N,9.0
EMP100143,Papi_N,7.0
EMP100144,Papi_N,2.0
EMP100145,Papi_N,7.0
EMP100146,Papi_N,3.0
EMP100147,Papi_N,
EMP100148,Papi_N,7.0
EMP100149,Papi_N,3.0
EMP100150,Papi_N,9.0
EMP100151,Papi_N,7.0
EMP100152,Papi_N,3.0
EMP100153,Papi_N,6.0
EMP100154,Papi_N,5.0
EMP100155,Papi_N,2.0
EMP100156,Papi_N,6.0
EMP100157,Papi_N,3.0
EMP100158,Papi_N,4.0
EMP100159,Papi_N,6.0
EMP100160,Papi_N,3.0
EMP100161,Papi_N,3.0
EMP100162,Papi_N,6.0
EMP100163,Papi_N,7.0
EMP100164,Papi_N,
EMP100165,Papi_N,5.0
EMP100166,Papi_N,2.0
EMP100167,Papi_N,1.0
EMP100168,Papi_N,4.0
EMP100169,Papi_N,3.0
EMP100170,Papi_N,7.0
EMP100171,Papi_N,8.0
EMP100172,Papi_N,1.0
EMP100173,Papi_N,2.0
EMP100174,Papi_N,4.0
EMP100175,Papi_N,4.0
EMP100176,Papi_N,1.0
EMP100177,Papi_N,8.0
EMP100178,Papi_N,
EMP100179,Papi_N,9.0
EMP100180,Papi_N,2.0
EMP100181,Papi_N,3.0
EMP100182,Papi_N,9.0
EMP100183,Papi_N,9.0
EMP100184,Papi_N,
EMP100185,Papi_N,3.0
EMP100186,Papi_N,9.0
EMP100187,Papi_N,8.0
EMP100188,Papi_N,
EMP100189,Papi_N,5.0
EMP100190,Papi_N,7.0
EMP100191,Papi_N,8.0
EMP100192,Papi_N,4.0
EMP100193,Papi_N,1.0
EMP100194,Papi_N,9.0
EMP100195,Papi_N,6.0
EMP100196,Papi_N,8.0
EMP100197,Papi_N,3.0
EMP100198,Papi_N,
EMP100199,Papi_N,9.0
EMP100200,Papi_N,5.0
EMP100201,Papi_N,3.0
EMP100202,Papi_N,5.0
EMP100203,Papi_N,3.0
EMP100204,Papi_N,2.0
EMP100205,Papi_N,9.0
EMP100206,Papi_N,9.0
EMP100207,Papi_N,4.0
EMP100208,Papi_N,5.0
EMP100209,Papi_N,
EMP100210,Papi_N,5.0
EMP100211,Papi_N,2.0
EMP100212,Papi_N,7.0
EMP100213,Papi_N,
EMP100214,Papi_N,2.0
EMP100215,Papi_N,9.0
EMP100216,Papi_N,3.0
EMP100217,Papi_N,5.0
EMP100218,Papi_N,1.0
EMP100219,Papi_N,1.0
EMP100220,Papi_N,5.0
EMP100221,Papi_N,6.0
EMP100222,Papi_N,9.0
EMP100223,Papi_N,5.0
EMP100224,Papi_N,1.0
EMP100225,Papi_N,9.0
EMP100226,Papi_N,7.0
EMP100227,Papi_N,5.0
EMP100228,Papi_N,7.0
EMP100229,Papi_N,7.0
EMP100230,Papi_N,3.0
EMP100231,Papi_N,1.0
EMP100232,Papi_N,8.0
EMP100233,Papi_N,6.0
EMP100234,Papi_N,6.0
EMP100235,Papi_N,5.0
EMP100236,Papi_N,8.0
EMP100237,Papi_N,9.0
EMP100238,Papi_N,2.0
EMP100239,Papi_N,8.0
EMP100240,Papi_N,6.0
EMP100241,Papi_N,2.0
EMP100242,Papi_N,5.0
EMP100243,Papi_N,1.0
EMP100244,Papi_N,5.0
EMP100245,Papi_N,
EMP100246,Papi_N,5.0
EMP100247,Papi_N,7.0
EMP100248,Papi_N,5.0
EMP100249,Papi_N,
EMP100250,Papi_N,8.0
EMP100251,Papi_N,5.0
EMP100252,Papi_N,7.0
EMP100253,Papi_N,5.0
EMP100254,Papi_N,4.0
EMP100255,Papi_N,9.0
EMP100256,Papi_N,2.0
EMP100257,Papi_N,5.0
EMP100258,Papi_N,7.0
EMP100259,Papi_N,1.0
EMP100260,Papi_N,3.0
EMP100261,Papi_N,3.0
EMP100262,Papi_N,2.0
EMP100263,Papi_N,1.0
EMP100264,Papi_N,1.0
EMP100265,Papi_N,4.0
EMP100266,Papi_N,3.0
EMP100267,Papi_N,3.0
EMP100268,Papi_N,7.0
EMP100269,Papi_N,4.0
EMP100270,Papi_N,2.0
EMP100271,Papi_N,9.0
EMP100272,Papi_N,7.0
EMP100273,Papi_N,6.0
EMP100274,Papi_N,8.0
EMP100275,Papi_N,7.0
EMP100276,Papi_N,
EMP100277,Papi_N,8.0
EMP100278,Papi_N,6.0
EMP100279,Papi_N,4.0
EMP100280,Papi_N,
EMP100281,Papi_N,3.0
EMP100282,Papi_N,
EMP100283,Papi_N,7.0
EMP100284,Papi_N,7.0
EMP100285,Papi_N,4.0
EMP100286,Papi_N,5.0
EMP100287,Papi_N,4.0
EMP100288,Papi_N,4.0
EMP100289,Papi_N,6.0
EMP100290,Papi_N,4.0
EMP100291,Papi_N,5.0
EMP100292,Papi_N,1.0
EMP100293,Papi_N,2.0
EMP100294,Papi_N,1.0
EMP100295,Papi_N,4.0
EMP100296,Papi_N,
EMP100297,Papi_N,6.0
EMP100298,Papi_N,5.0
EMP100299,Papi_N,8.0
EMP100300,Papi_N,9.0
EMP100301,Papi_N,3.0
EMP100302,Papi_N,5.0
EMP100303,Papi_N,6.0
EMP100304,Papi_N,8.0
EMP100305,Papi_N,1.0
EMP100306,Papi_N,3.0
EMP100307,Papi_N,1.0
EMP100308,Papi_N,1.0
EMP100309,Papi_N,3.0
EMP100310,Papi_N,8.0
EMP100311,Papi_N,7.0
EMP100312,Papi_N,6.0
EMP100313,Papi_N,8.0
EMP100314,Papi_N,1.0
EMP100315,Papi_N,7.0
EMP100316,Papi_N,4.0
EMP100317,Papi_N,9.0
EMP100318,Papi_N,9.0
EMP100319,Papi_N,3.0
EMP100320,Papi_N,7.0
EMP100321,Papi_N,1.0
EMP100322,Papi_N,5.0
EMP100323,Papi_N,3.0
EMP100324,Papi_N,4.0
EMP100325,Papi_N,7.0
EMP100326,Papi_N,1.0
EMP100327,Papi_N,8.0
EMP100328,Papi_N,4.0
EMP100329,Papi_N,5.0
EMP100330,Papi_N,6.0
EMP100331,Papi_N,3.0
EMP100332,Papi_N,1.0
EMP100333,Papi_N,3.0
EMP100334,Papi_N,6.0
EMP100335,Papi_N,2.0
EMP100336,Papi_N,6.0
EMP100337,Papi_N,7.0
EMP100338,Papi_N,6.0
EMP100339,Papi_N,2.0
EMP100340,Papi_N,7.0
EMP100341,Papi_N,4.0
EMP100342,Papi_N,8.0
EMP100343,Papi_N,6.0
EMP100344,Papi_N,5.0
EMP100345,Papi_N,3.0
EMP100346,Papi_N,4.0
EMP100347,Papi_N,6.0
EMP100348,Papi_N,2.0
EMP100349,Papi_N,1.0
EMP100350,Papi_N,2.0
EMP100351,Papi_N,2.0
EMP100352,Papi_N,5.0
EMP100353,Papi_N,
EMP100354,Papi_N,
EMP100355,Papi_N,1.0
EMP100356,Papi_N,9.0
EMP100357,Papi_N,4.0
EMP100358,Papi_N,1.0
EMP100359,Papi_N,2.0
EMP100360,Papi_N,5.0
EMP100361,Papi_N,9.0
EMP100362,Papi_N,4.0
EMP100363,Papi_N,7.0
EMP100364,Papi_N,4.0
EMP100365,Papi_N,9.0
EMP100366,Papi_N,4.0
EMP100367,Papi_N,9.0
EMP100368,Papi_N,3.0
EMP100369,Papi_N,4.0
EMP100370,Papi_N,9.0
EMP100371,Papi_N,7.0
EMP100372,Papi_N,3.0
EMP100373,Papi_N,
EMP100374,Papi_N,2.0
EMP100375,Papi_N,9.0
EMP100376,Papi_N,4.0
EMP100377,Papi_N,2.0
EMP100378,Papi_N,5.0
EMP100379,Papi_N,9.0
EMP100380,Papi_N,3.0
EMP100381,Papi_N,2.0
EMP100382,Papi_N,4.0
EMP100383,Papi_N,9.0
EMP100384,Papi_N,1.0
EMP100385,Papi_N,5.0
EMP100386,Papi_N,5.0
EMP100387,Papi_N,9.0
EMP100388,Papi_N,
EMP100389,Papi_N,7.0
EMP100390,Papi_N,2.0
EMP100391,Papi_N,8.0
EMP100392,Papi_N,7.0
EMP100393,Papi_N,4.0
EMP100394,Papi_N,9.0
EMP100395,Papi_N,6.0
EMP100396,Papi_N,1.0
EMP100397,Papi_N,7.0
EMP100398,Papi_N,
EMP100399,Papi_N,7.0
EMP100400,Papi_N,7.0
EMP100401,Papi_N,4.0
EMP100402,Papi_N,5.0
EMP100403,Papi_N,2.0
EMP100404,Papi_N,
EMP100405,Papi_N,6.0
EMP100406,Papi_N,2.0
EMP100407,Papi_N,4.0
EMP100408,Papi_N,3.0
EMP100409,Papi_N,6.0
EMP100410,Papi_N,9.0
EMP100411,Papi_N,3.0
EMP100412,Papi_N,3.0
EMP100413,Papi_N,8.0
EMP100414,Papi_N,8.0
EMP100415,Papi_N,
EMP100416,Papi_N,
EMP100417,Papi_N,5.0
EMP100418,Papi_N,9.0
EMP100419,Papi_N,7.0
EMP100420,Papi_N,7.0
EMP100421,Papi_N,2.0
EMP100422,Papi_N,4.0
EMP100423,Papi_N,2.0
EMP100424,Papi_N,8.0
EMP100425,Papi_N,3.0
EMP100426,Papi_N,8.0
EMP100427,Papi_N,
EMP100428,Papi_N,7.0
EMP100429,Papi_N,8.0
EMP100430,Papi_N,2.0
EMP100431,Papi_N,4.0
EMP100432,Papi_N,5.0
EMP100433,Papi_N,4.0
EMP100434,Papi_N,1.0
EMP100435,Papi_N,5.0
EMP100436,Papi_N,5.0
EMP100437,Papi_N,9.0
EMP100438,Papi_N,
EMP100439,Papi_N,5.0
EMP100440,Papi_N,9.0
EMP100441,Papi_N,9.0
EMP100442,Papi_N,4.0
EMP100443,Papi_N,5.0
EMP100444,Papi_N,7.0
EMP100445,Papi_N,2.0
EMP100446,Papi_N,3.0
EMP100447,Papi_N,6.0
EMP100448,Papi_N,2.0
EMP100449,Papi_N,7.0
EMP100450,Papi_N,9.0
EMP100451,Papi_N,6.0
EMP100452,Papi_N,6.0
EMP100453,Papi_N,5.0
EMP100454,Papi_N,
EMP100455,Papi_N,9.0
EMP100456,Papi_N,7.0
EMP100457,Papi_N,7.0
EMP100458,Papi_N,2.0
EMP100459,Papi_N,9.0
EMP100460,Papi_N,7.0
EMP100461,Papi_N,7.0
EMP100462,Papi_N,1.0
EMP100463,Papi_N,7.0
EMP100464,Papi_N,1.0
EMP100465,Papi_N,1.0
EMP100466,Papi_N,1.0
EMP100467,Papi_N,9.0
EMP100468,Papi_N,8.0
EMP100469,Papi_N,
EMP100470,Papi_N,7.0
EMP100471,Papi_N,7.0
EMP100472,Papi_N,5.0
EMP100473,Papi_N,1.0
EMP100474,Papi_N,8.0
EMP100475,Papi_N,5.0
EMP100476,Papi_N,4.0
EMP100477,Papi_N,
EMP100478,Papi_N,3.0
EMP100479,Papi_N,
EMP100480,Papi_N,5.0
EMP100481,Papi_N,3.0
EMP100482,Papi_N,2.0
EMP100483,Papi_N,8.0
EMP100484,Papi_N,9.0
EMP100485,Papi_N,7.0
EMP100486,Papi_N,
EMP100487,Papi_N,5.0
EMP100488,Papi_N,2.0
EMP100489,Papi_N,1.0
EMP100490,Papi_N,
EMP100491,Papi_N,4.0
EMP100492,Papi_N,1.0
EMP100493,Papi_N,3.0
EMP100494,Papi_N,4.0
EMP100495,Papi_N,4.0
EMP100496,Papi_N,6.0
EMP100497,Papi_N,1.0
EMP100498,Papi_N,3.0
EMP100499,Papi_N,6.0
EMP100500,Papi_N,3.0
EMP100501,Papi_N,7.0
EMP100502,Papi_N,9.0
EMP100503,Papi_N,1.0
EMP100504,Papi_N,6.0
EMP100505,Papi_N,4.0
EMP100506,Papi_N,1.0
EMP100507,Papi_N,8.0
EMP100508,Papi_N,
EMP100509,Papi_N,5.0
EMP100510,Papi_N,6.0
EMP100511,Papi_N,9.0
EMP100512,Papi_N,4.0
EMP100513,Papi_N,2.0
EMP100514,Papi_N,6.0
EMP100515,Papi_N,3.0
EMP100516,Papi_N,3.0
EMP100517,Papi_N,6.0
EMP100518,Papi_N,4.0
EMP100519,Papi_N,4.0
EMP100520,Papi_N,2.0
EMP100521,Papi_N,5.0
EMP100522,Papi_N,6.0
EMP100523,Papi_N,6.0
EMP100524,Papi_N,9.0
EMP100525,Papi_N,3.0
EMP100526,Papi_N,4.0
EMP100527,Papi_N,
EMP100528,Papi_N,4.0
EMP100529,Papi_N,2.0
EMP100530,Papi_N,4.0
EMP100531,Papi_N,
EMP100532,Papi_N,8.0
EMP100533,Papi_N,1.0
EMP100534,Papi_N,6.0
EMP100535,Papi_N,6.0
EMP100536,Papi_N,9.0
EMP100537,Papi_N,3.0
EMP100538,Papi_N,2.0
EMP100539,Papi_N,9.0
EMP100540,Papi_N,4.0
EMP100541,Papi_N,4.0
EMP100542,Papi_N,4.0
EMP100543,Papi_N,2.0
EMP100544,Papi_N,5.0
EMP100545,Papi_N,3.0
EMP100546,Papi_N,2.0
EMP100547,Papi_N,5.0
EMP100548,Papi_N,3.0
EMP100549,Papi_N,6.0
EMP100550,Papi_N,9.0
EMP100551,Papi_N,7.0
EMP100552,Papi_N,7.0
EMP100553,Papi_N,2.0
EMP100554,Papi_N,6.0
EMP100555,Papi_N,4.0
EMP100556,Papi_N,3.0
EMP100557,Papi_N,9.0
EMP100558,Papi_N,8.0
EMP100559,Papi_N,5.0
EMP100560,Papi_N,1.0
EMP100561,Papi_N,9.0
EMP100562,Papi_N,6.0
EMP100563,Papi_N,1.0
EMP100564,Papi_N,7.0
EMP100565,Papi_N,6.0
EMP100566,Papi_N,
EMP100567,Papi_N,5.0
EMP100568,Papi_N,8.0
EMP100569,Papi_N,6.0
EMP100570,Papi_N,4.0
EMP100571,Papi_N,9.0
EMP100572,Papi_N,8.0
EMP100573,Papi_N,1.0
EMP100574,Papi_N,4.0
EMP100575,Papi_N,6.0
EMP100576,Papi_N,9.0
EMP100577,Papi_N,9.0
EMP100578,Papi_N,4.0
EMP100579,Papi_N,
EMP100580,Papi_N,7.0
EMP100581,Papi_N,7.0
EMP100582,Papi_N,6.0
EMP100583,Papi_N,9.0
EMP100584,Papi_N,2.0
EMP100585,Papi_N,7.0
EMP100586,Papi_N,6.0
EMP100587,Papi_N,8.0
EMP100588,Papi_N,3.0
EMP100589,Papi_N,9.0
EMP100590,Papi_N,6.0
EMP100591,Papi_N,4.0
EMP100592,Papi_N,9.0
EMP100593,Papi_N,
EMP100594,Papi_N,4.0
EMP100595,Papi_N,8.0
EMP100596,Papi_N,2.0
EMP100597,Papi_N,3.0
EMP100598,Papi_N,3.0
EMP100599,Papi_N,8.0
EMP100600,Papi_N,2.0
EMP100601,Papi_N,9.0
EMP100602,Papi_N,2.0
EMP100603,Papi_N,4.0
EMP100604,Papi_N,7.0
EMP100605,Papi_N,5.0
EMP100606,Papi_N,3.0
EMP100607,Papi_N,7.0
EMP100608,Papi_N,
EMP100609,Papi_N,2.0
EMP100610,Papi_N,3.0
EMP100611,Papi_N,3.0
EMP100612,Papi_N,2.0
EMP100613,Papi_N,8.0
EMP100614,Papi_N,7.0
EMP100615,Papi_N,2.0
EMP100616,Papi_N,6.0
EMP100617,Papi_N,8.0
EMP100618,Papi_N,3.0
EMP100619,Papi_N,1.0
EMP100620,Papi_N,
EMP100621,Papi_N,7.0
EMP100622,Papi_N,6.0
EMP100623,Papi_N,7.0
EMP100624,Papi_N,2.0
EMP100625,Papi_N,7.0
EMP100626,Papi_N,7.0
EMP100627,Papi_N,
EMP100628,Papi_N,5.0
EMP100629,Papi_N,1.0
EMP100630,Papi_N,
EMP100631,Papi_N,4.0
EMP100632,Papi_N,6.0
EMP100633,Papi_N,6.0
EMP100634,Papi_N,3.0
EMP100635,Papi_N,2.0
EMP100636,Papi_N,8.0
EMP100637,Papi_N,9.0
EMP100638,Papi_N,7.0
EMP100639,Papi_N,2.0
EMP100640,Papi_N,4.0
EMP100641,Papi_N,6.0
EMP100642,Papi_N,
EMP100643,Papi_N,3.0
EMP100644,Papi_N,7.0
EMP100645,Papi_N,9.0
EMP100646,Papi_N,6.0
EMP100647,Papi_N,4.0
EMP100648,Papi_N,8.0
EMP100649,Papi_N,3.0
EMP100650,Papi_N,3.0
EMP100651,Papi_N,5.0
EMP100652,Papi_N,4.0
EMP100653,Papi_N,3.0
EMP100654,Papi_N,4.0
EMP100655,Papi_N,
EMP100656,Papi_N,6.0
EMP100657,Papi_N,8.0
EMP100658,Papi_N,9.0
EMP100659,Papi_N,1.0
EMP100660,Papi_N,
EMP100661,Papi_N,1.0
EMP100662,Papi_N,8.0
EMP100663,Papi_N,1.0
EMP100664,Papi_N,4.0
EMP100665,Papi_N,2.0
EMP100666,Papi_N,6.0
EMP100667,Papi_N,
EMP100668,Papi_N,3.0
EMP100669,Papi_N,2.0
EMP100670,Papi_N,
EMP100671,Papi_N,9.0
EMP100672,Papi_N,7.0
EMP100673,Papi_N,3.0
EMP100674,Papi_N,1.0
EMP100675,Papi_N,2.0
EMP100676,Papi_N,1.0
EMP100677,Papi_N,3.0
EMP100678,Papi_N,5.0
EMP100679,Papi_N,4.0
EMP100680,Papi_N,9.0
EMP100681,Papi_N,8.0
EMP100682,Papi_N,6.0
EMP100683,Papi_N,1.0
EMP100684,Papi_N,9.0
EMP100685,Papi_N,2.0
EMP100686,Papi_N,3.0
EMP100687,Papi_N,3.0
EMP100688,Papi_N,3.0
EMP100689,Papi_N,
EMP100690,Papi_N,7.0
EMP100691,Papi_N,6.0
EMP100692,Papi_N,6.0
EMP100693,Papi_N,1.0
EMP100694,Papi_N,7.0
EMP100695,Papi_N,9.0
EMP100696,Papi_N,4.0
EMP100697,Papi_N,3.0
EMP100698,Papi_N,5.0
EMP100699,Papi_N,3.0
EMP100700,Papi_N,1.0
EMP100701,Papi_N,9.0
EMP100702,Papi_N,1.0
EMP100703,Papi_N,1.0
EMP100704,Papi_N,2.0
EMP100705,Papi_N,6.0
EMP100706,Papi_N,8.0
EMP100707,Papi_N,4.0
EMP100708,Papi_N,7.0
EMP100709,Papi_N,7.0
EMP100710,Papi_N,
EMP100711,Papi_N,
EMP100712,Papi_N,4.0
EMP100713,Papi_N,5.0
EMP100714,Papi_N,4.0
EMP100715,Papi_N,9.0
EMP100716,Papi_N,3.0
EMP100717,Papi_N,
EMP100718,Papi_N,1.0
EMP100719,Papi_N,4.0
EMP100720,Papi_N,1.0
EMP100721,Papi_N,4.0
EMP100722,Papi_N,1.0
EMP100723,Papi_N,2.0
EMP100724,Papi_N,5.0
EMP100725,Papi_N,2.0
EMP100726,Papi_N,1.0
EMP100727,Papi_N,2.0
EMP100728,Papi_N,2.0
EMP100729,Papi_N,7.0
EMP100730,Papi_N,4.0
EMP100731,Papi_N,2.0
EMP100732,Papi_N,9.0
EMP100733,Papi_N,6.0
EMP100734,Papi_N,3.0
EMP100735,Papi_N,
EMP100736,Papi_N,3.0
EMP100737,Papi_N,7.0
EMP100738,Papi_N,
EMP100739,Papi_N,4.0
EMP100740,Papi_N,8.0
EMP100741,Papi_N,7.0
EMP100742,Papi_N,4.0
EMP100743,Papi_N,4.0
EMP100744,Papi_N,5.0
EMP100745,Papi_N,6.0
EMP100746,Papi_N,9.0
EMP100747,Papi_N,
EMP100748,Papi_N,4.0
EMP100749,Papi_N,7.0
EMP100750,Papi_N,1.0
EMP100751,Papi_N,4.0
EMP100752,Papi_N,3.0
EMP100753,Papi_N,2.0
EMP100754,Papi_N,8.0
EMP100755,Papi_N,5.0
EMP100756,Papi_N,7.0
EMP100757,Papi_N,1.0
EMP100758,Papi_N,7.0
EMP100759,Papi_N,8.0
EMP100760,Papi_N,8.0
EMP100761,Papi_N,4.0
EMP100762,Papi_N,8.0
EMP100763,Papi_N,3.0
EMP100764,Papi_N,9.0
EMP100765,Papi_N,1.0
EMP100766,Papi_N,7.0
EMP100767,Papi_N,7.0
EMP100768,Papi_N,3.0
EMP100769,Papi_N,1.0
EMP100770,Papi_N,6.0
EMP100771,Papi_N,1.0
EMP100772,Papi_N,2.0
EMP100773,Papi_N,1.0
EMP100774,Papi_N,1.0
EMP100775,Papi_N,5.0
EMP100776,Papi_N,5.0
EMP100777,Papi_N,5.0
EMP100778,Papi_N,6.0
EMP100779,Papi_N,8.0
EMP100780,Papi_N,
EMP100781,Papi_N,5.0
EMP100782,Papi_N,3.0
EMP100783,Papi_N,3.0
EMP100784,Papi_N,7.0
EMP100785,Papi_N,1.0
EMP100786,Papi_N,2.0
EMP100787,Papi_N,5.0
EMP100788,Papi_N,4.0
EMP100789,Papi_N,6.0
EMP100790,Papi_N,5.0
EMP100791,Papi_N,3.0
EMP100792,Papi_N,3.0
EMP100793,Papi_N,1.0
EMP100794,Papi_N,9.0
EMP100795,Papi_N,4.0
EMP100796,Papi_N,3.0
EMP100797,Papi_N,5.0
EMP100798,Papi_N,9.0
EMP100799,Papi_N,9.0
EMP100800,Papi_N,7.0
EMP100801,Papi_N,4.0
EMP100802,Papi_N,
EMP100803,Papi_N,4.0
EMP100804,Papi_N,2.0
EMP100805,Papi_N,7.0
EMP100806,Papi_N,4.0
EMP100807,Papi_N,9.0
EMP100808,Papi_N,7.0
EMP100809,Papi_N,4.0
EMP100810,Papi_N,6.0
EMP100811,Papi_N,4.0
EMP100812,Papi_N,9.0
EMP100813,Papi_N,7.0
EMP100814,Papi_N,2.0
EMP100815,Papi_N,
EMP100816,Papi_N,8.0
EMP100817,Papi_N,7.0
EMP100818,Papi_N,
EMP100819,Papi_N,4.0
EMP100820,Papi_N,6.0
EMP100821,Papi_N,5.0
EMP100822,Papi_N,3.0
EMP100823,Papi_N,1.0
EMP100824,Papi_N,6.0
EMP100825,Papi_N,5.0
EMP100826,Papi_N,7.0
EMP100827,Papi_N,6.0
EMP100828,Papi_N,8.0
EMP100829,Papi_N,3.0
EMP100830,Papi_N,9.0
EMP100831,Papi_N,3.0
EMP100832,Papi_N,4.0
EMP100833,Papi_N,8.0
EMP100834,Papi_N,8.0
EMP100835,Papi_N,6.0
EMP100836,Papi_N,2.0
EMP100837,Papi_N,6.0
EMP100838,Papi_N,8.0
EMP100839,Papi_N,6.0
EMP100840,Papi_N,8.0
EMP100841,Papi_N,2.0
EMP100842,Papi_N,1.0
EMP100843,Papi_N,4.0
EMP100844,Papi_N,3.0
EMP100845,Papi_N,9.0
EMP100846,Papi_N,5.0
EMP100847,Papi_N,4.0
EMP100848,Papi_N,2.0
EMP100849,Papi_N,5.0
EMP100850,Papi_N,8.0
EMP100851,Papi_N,6.0
EMP100852,Papi_N,9.0
EMP100853,Papi_N,1.0
EMP100854,Papi_N,7.0
EMP100855,Papi_N,
EMP100856,Papi_N,5.0
EMP100857,Papi_N,9.0
EMP100858,Papi_N,8.0
EMP100859,Papi_N,9.0
EMP100860,Papi_N,3.0
EMP100861,Papi_N,9.0
EMP100862,Papi_N,8.0
EMP100863,Papi_N,4.0
EMP100864,Papi_N,1.0
EMP100865,Papi_N,5.0
EMP100866,Papi_N,9.0
EMP100867,Papi_N,9.0
EMP100868,Papi_N,2.0
EMP100869,Papi_N,4.0
EMP100870,Papi_N,9.0
EMP100871,Papi_N,9.0
EMP100872,Papi_N,
EMP100873,Papi_N,6.0
EMP100874,Papi_N,5.0
EMP100875,Papi_N,4.0
EMP100876,Papi_N,3.0
EMP100877,Papi_N,4.0
EMP100878,Papi_N,9.0
EMP100879,Papi_N,
EMP100880,Papi_N,6.0
EMP100881,Papi_N,8.0
EMP100882,Papi_N,6.0
EMP100883,Papi_N,6.0
EMP100884,Papi_N,8.0
EMP100885,Papi_N,7.0
